iter	Passed	Remaining
961	5322	210
962	5328	204
963	5338	199
964	5345	193
965	5354	188
966	5361	182
967	5365	177
968	5371	171
969	5377	166
970	5385	160
971	5391	155
972	5395	149
973	5405	144
974	5411	138
975	5424	133
976	5428	127
977	5436	122
978	5442	116
979	5450	111
980	5455	105
981	5459	100
982	5466	94
983	5471	88
984	5481	83
985	5487	77
986	5491	72
987	5501	66
988	5505	61
989	5510	55
990	5515	50
991	5519	44
992	5527	38
993	5532	33
994	5536	27
995	5542	22
996	5546	16
997	5550	11
998	5553	5
999	5558	0
